comunidad_autonoma,provincia,clubes
andalucia,cordoba,c.n.montilla
catalunya,barcelona,c.n.montjuic
andalucia,cordoba,c.n.montoro
extremadura,caceres,c.n.moralo
castillayleon,valladolid,c.n.morelia
galicia,pontevedra,c.n.mos
regiondemurcia,murcia,c.n.murciasanjorge
larioja,larioja,c.n.nassica
catalunya,barcelona,c.n.navarcles
catalunya,barcelona,c.n.navas
andalucia,granada,c.n.nazari
catalunya,barcelona,c.n.neptuno
comunidadvalenciana,valencia,c.n.neptuno-l´alcudia
castilla-lamancha,albacete,c.n.neptunoalbacete
andalucia,cordoba,c.n.neptunodepozoblanco
galicia,acoruña,c.n.noia
comunidadvalenciana,alicante,c.n.novelda
catalunya,barcelona,c.n.o.lagarriga
castilla-lamancha,toledo,c.n.ocaña
castilla-lamancha,ciudadreal,c.n.olimpia
castillayleon,valladolid,c.n.olimpiada
extremadura,badajoz,c.n.olivenza
catalunya,girona,c.n.olot
comunidadvalenciana,valencia,c.n.olympicdombosconazaret
comunidadvalenciana,castellon,c.n.onda
catalunya,barcelona,c.n.ondina
aragon,zaragoza,c.n.ontinar
comunidadvalenciana,valencia,c.n.ontinyent
galicia,acoruña,c.n.ortigueira
principadodeasturias,asturias,c.n.ovimaster
galicia,ourense,c.n.pabellonourense
galicia,acoruña,c.n.padron
,,c.n.palamos
catalunya,barcelona,c.n.palau
castillayleon,palencia,c.n.palencia
andalucia,huelva,c.n.palos
comunidadforaldenavarra,navarra,c.n.pamplona
catalunya,barcelona,c.n.parets
extremadura,badajoz,c.n.peleño
comunidadvalenciana,alicante,c.n.petrer
comunidadvalenciana,valencia,c.n.picassent
regiondemurcia,murcia,c.n.pilarhoradada
comunidadvalenciana,alicante,c.n.piscinalanuciacamilocano
comunidadvalenciana,valencia,c.n.piscis-mislata
cantabria,cantabria,c.n.pistario
andalucia,huelva,c.n.palos
comunidadforaldenavarra,navarra,c.n.pamplona
catalunya,barcelona,c.n.parets
extremadura,badajoz,c.n.peleño
comunidadvalenciana,alicante,c.n.petrer
comunidadvalenciana,valencia,c.n.picassent
regiondemurcia,murcia,c.n.pilarhoradada
comunidadvalenciana,alicante,c.n.piscinalanuciacamilocano
comunidadvalenciana,valencia,c.n.piscis-mislata
cantabria,cantabria,c.n.pistario
andalucia,malaga,c.n.pizarra
extremadura,caceres,c.n.plasencia
canarias,santacruzdetenerife,c.n.plataforma3oceano
cantabria,cantabria,c.n.playasalve
catalunya,barcelona,c.n.pobla
catalunya,barcelona,c.n.poblenou
castillayleon,leon,c.n.ponferrada
andalucia,almeria,c.n.poniente-vicar
galicia,pontevedra,c.n.ponteareas
galicia,pontevedra,c.n.pontevedra
galicia,lugo,c.n.portamiñalugo
andalucia,almeria,c.n.portocarrero
andalucia,cadiz,c.n.portuense
islasbaleares,baleares,c.n.portus
andalucia,cordoba,c.n.pozoblanco
comunidaddemadrid,madrid,c.n.pozuelo
catalunya,barcelona,c.n.pratllobregat
catalunya,barcelona,c.n.premia
extremadura,badajoz,c.n.proserpina
castilla-lamancha,ciudadreal,c.n.puertollano
regiondemurcia,murcia,c.n.puertolumbreras
andalucia,cadiz,c.n.puertoreal
comunidadvalenciana,valencia,c.n.quartdepoblet
castilla-lamancha,toledo,c.n.quinaqua
castilla-lamancha,toledo,c.n.quintanar
principadodeasturias,asturias,c.n.ra
andalucia,almeria,c.n.rana
comunidadvalenciana,alicante,c.n.raspeig
canarias,santacruzdetenerife,c.n.reales
galicia,pontevedra,c.n.redondela
catalunya,tarragona,c.n.reusploms
galicia,pontevedra,c.n.riasbaixas
castillayleon,valladolid,c.n.riavall
comunidadvalenciana,valencia,c.n.riba-roja
catalunya,girona,c.n.riembaup.d´aro
catalunya,barcelona,c.n.ripollet
catalunya,barcelona,c.n.riudevitlles
galicia,acoruña,c.n.riveira
andalucia,cordoba,c.n.riviera
galicia,pontevedra,c.n.romil
catalunya,tarragona,c.n.reusploms
galicia,pontevedra,c.n.riasbaixas
castillayleon,valladolid,c.n.riavall
comunidadvalenciana,valencia,c.n.riba-roja
catalunya,girona,c.n.riembaup.d´aro
catalunya,barcelona,c.n.ripollet
catalunya,barcelona,c.n.riudevitlles
galicia,acoruña,c.n.riveira
andalucia,cordoba,c.n.riviera
galicia,pontevedra,c.n.romil
andalucia,almeria,c.n.roquetas
catalunya,barcelona,c.n.rubi
andalucia,cordoba,c.n.rute
castillayleon,valladolid,c.n.s.fabionelli
castilla-lamancha,toledo,c.n.s.oriolimperial
catalunya,barcelona,c.n.sabadell
aragon,huesca,c.n.sabiñanigo
comunidadvalenciana,valencia,c.n.saguntomorvedremaster
castillayleon,salamanca,c.n.salamanca
catalunya,barcelona,c.n.sallent
galicia,pontevedra,c.n.salnes
catalunya,tarragona,c.n.salou
andalucia,sevilla,c.n.salv.nuevasavia
castilla-lamancha,toledo,c.n.salvamentoysocorrismoconsuegra
comunidadvalenciana,valencia,c.n.samaruc
comunidaddemadrid,madrid,c.n.sanblas
catalunya,tarragona,c.n.sancarlos
melilla,melilla,c.n.sanfernando
andalucia,cadiz,c.n.sanfernando
comunidaddemadrid,madrid,c.n.sanfernandodehenares
catalunya,barcelona,c.n.sanfost
galicia,pontevedra,c.n.sangenjo
aragon,zaragoza,c.n.sangregorio
regiondemurcia,murcia,c.n.sanjaviermarmenor
comunidadvalenciana,alicante,c.n.sanjuan
comunidaddemadrid,madrid,c.n.sanlorenzodeelescorial
cantabria,cantabria,c.n.sanmartin
principadodeasturias,asturias,c.n.sanmartindelreyaurelio
andalucia,cadiz,c.n.sanroque
aragon,zaragoza,c.n.sanroque
,,c.n.santabarbara
catalunya,barcelona,c.n.santadria
cantabria,cantabria,c.n.santander
catalunya,barcelona,c.n.santandreu
catalunya,barcelona,c.n.santantontremp
principadodeasturias,asturias,c.n.santaolaya
catalunya,barcelona,c.n.santaperpetua
catalunya,barcelona,c.n.santboi
catalunya,barcelona,c.n.santfeliu
catalunya,barcelona,c.n.santfruitos
galicia,acoruña,c.n.santiago
andalucia,jaen,c.n.santoreino
catalunya,barcelona,c.n.santpedor
catalunya,barcelona,c.n.santsadurni
paisvasco,vizcaya,c.n.santurtzi
comunidadvalenciana,alicante,c.n.sanvicente
galicia,pontevedra,c.n.sanxenxo
andalucia,sevilla,c.n.sevilla
andalucia,granada,c.n.sierranevada
comunidaddemadrid,madrid,c.n.sierraoeste
andalucia,jaen,c.n.sierrasur
galicia,acoruña,c.n.sinc.montrove
principadodeasturias,asturias,c.n.sincroastur
castilla-lamancha,albacete,c.n.sincronizadaalbacete
comunidadvalenciana,alicante,c.n.sincronizadacostablanca
comunidadvalenciana,valencia,c.n.sincronizadamorvedresagunto
galicia,ourense,c.n.sincronizadaourense
comunidadvalenciana,alicante,c.n.sincronizadaphoenix
galicia,pontevedra,c.n.sincronizadapontevedra
galicia,pontevedra,c.n.sincronizadariasbaixasvigo
andalucia,sevilla,c.n.sincrosevilla
principadodeasturias,asturias,c.n.sincroviedo
catalunya,barcelona,c.n.sitges
castillayleon,soria,c.n.soriano
catalunya,barcelona,c.n.spartansharks
islasbaleares,baleares,c.n.sta.eulaliario
comunidadvalenciana,valencia,c.n.sueca
paisvasco,vizcaya,c.n.tabira
andalucia,cadiz,c.n.tarifa
catalunya,tarragona,c.n.tarraco
catalunya,lleida,c.n.tarrega
canarias,santacruzdetenerife,c.n.teneteide
comunidadvalenciana,alicante,c.n.teniselche
,,c.n.tercio
catalunya,barcelona,c.n.terrassa
aragon,teruel,c.n.teruel
castilla-lamancha,toledo,c.n.toledo
castilla-lamancha,ciudadreal,c.n.tomelloso
castillayleon,salamanca,c.n.tormes
catalunya,lleida,c.n.tornabous
cantabria,cantabria,c.n.torrelavega
andalucia,malaga,c.n.torremolinos
comunidadvalenciana,alicante,c.n.torrevieja
castilla-lamancha,toledo,c.n.torrijos
catalunya,tarragona,c.n.tortosa
comunidadvalenciana,alicante,c.n.tossal-alicante
islasbaleares,baleares,c.n.tramuntana
comunidadvalenciana,valencia,c.n.trencaonesalzira
comunidaddemadrid,madrid,c.n.trescantos
castillayleon,leon,c.n.tritonbierzo
extremadura,caceres,c.n.trujillo
comunidadvalenciana,valencia,c.n.turis
andalucia,cadiz,c.n.ubrique
galicia,pontevedra,c.n.umia
andalucia,sevilla,c.n.unionrinconada
paisvasco,alava,c.n.urgain
andalucia,cadiz,c.n.urta
comunidadvalenciana,valencia,c.n.utiel
andalucia,sevilla,c.n.utrera
castillayleon,valladolid,c.n.v.elrefugio
castilla-lamancha,ciudadreal,c.n.valdepeñas
comunidadvalenciana,valencia,c.n.valenciamasterssedavi
comunidadforaldenavarra,navarra,c.n.valledearanguren
comunidaddemadrid,madrid,c.n.valledelkas
principadodeasturias,asturias,c.n.vallenalon
canarias,laspalmas,c.n.valleverde
catalunya,barcelona,c.n.vallirana
comunidaddemadrid,madrid,c.n.vallmont
catalunya,tarragona,c.n.vendrell
catalunya,barcelona,c.n.vic-etb
galicia,pontevedra,c.n.vigo
comunidadvalenciana,castellon,c.n.vila-real
catalunya,tarragona,c.n.vila-seca
catalunya,barcelona,c.n.viladecans
catalunya,barcelona,c.n.vilafranca
catalunya,barcelona,c.n.vilanova
canarias,laspalmas,c.n.villadeagüimes20cnva16
principadodeasturias,asturias,c.n.villadenavia
regiondemurcia,murcia,c.n.villadetorrepacheco
andalucia,cordoba,c.n.villafrancac.
comunidaddemadrid,madrid,c.n.villalba
comunidaddemadrid,madrid,c.n.villanuevadelacañada
andalucia,cordoba,c.n.villarrense
castilla-lamancha,albacete,c.n.villarrobledo
comunidadvalenciana,alicante,c.n.villenaaltovinalopo
comunidadvalenciana,castellon,c.n.vinaros
islasbaleares,baleares,c.n.voltorbalear
canarias,laspalmas,c.n.vulcaniamaster
comunidadvalenciana,valencia,c.n.w.diverswin
comunidaddemadrid,madrid,c.n.w.majadahonda
comunidadvalenciana,valencia,c.n.xativa
comunidadvalenciana,valencia,c.n.xirivella
galicia,lugo,c.n.xove
comunidadvalenciana,valencia,c.n.xuquer
regiondemurcia,murcia,c.n.yecla
paisvasco,alava,c.n.zadorra
extremadura,badajoz,c.n.zafra
castillayleon,zamora,c.n.zamora
aragon,zaragoza,c.n.zaragoza89
aragon,zaragoza,c.n.zaragozacentro
paisvasco,guipuzcoa,c.n.zubi-aurre
aragon,zaragoza,c.n.zuera
catalunya,barcelona,c.natacion81
cantabria,cantabria,c.nauticodelaredo
catalunya,girona,c.nauticoestartit
aragon,huesca,c.nauticogradense
castillayleon,burgos,c.nauticomirandes
andalucia,sevilla,c.nauticosevilla
catalunya,tarragona,c.nauticotarragona
galicia,pontevedra,c.navalpontevedra
andalucia,cadiz,c.nazaret
andalucia,cordoba,c.neptunodecordoba
catalunya,barcelona,c.npiera2012
catalunya,girona,c.o.farners
extremadura,badajoz,c.olivalafrontera
andalucia,sevilla,c.p.a.a.mairenaaljarafe
castilla-lamancha,albacete,c.p.albaceten.
andalucia,jaen,c.p.alcaudete
andalucia,jaen,c.p.beasdesegura
regiondemurcia,murcia,c.p.bullas
andalucia,cadiz,c.nazaret
andalucia,cordoba,c.neptunodecordoba
catalunya,barcelona,c.npiera2012
catalunya,girona,c.o.farners
extremadura,badajoz,c.olivalafrontera
andalucia,sevilla,c.p.a.a.mairenaaljarafe
castilla-lamancha,albacete,c.p.albaceten.
andalucia,jaen,c.p.alcaudete
andalucia,jaen,c.p.beasdesegura
regiondemurcia,murcia,c.p.bullas
comunidaddemadrid,madrid,c.p.c.s.somontano
andalucia,cadiz,c.p.cadiz
catalunya,girona,c.p.d.abadessenc
aragon,huesca,c.p.eltemple
catalunya,girona,c.p.flassa
aragon,huesca,c.p.fraga
andalucia,granada,c.p.granada74
andalucia,huelva,c.p.huelva
larioja,larioja,c.p.j.calahorra
castilla-lamancha,albacete,c.p.laroda
andalucia,malaga,c.p.nerja
catalunya,girona,c.p.puigcerda
castilla-lamancha,albacete,c.p.record
canarias,laspalmas,c.p.santamªdeguia
catalunya,girona,c.p.santjoanenc
aragon,huesca,c.p.sariñena
comunidadvalenciana,alicante,c.padelarenaalicante
catalunya,lleida,c.palaud'anglesola
andalucia,granada,c.pamesademotril
cantabria,cantabria,c.parayass.d.
catalunya,barcelona,c.patin-vic
castillayleon,leon,c.peñalba
melilla,melilla,c.pentatlonmelilla
galicia,acoruña,c.pescaelpuntal(probas)
andalucia,sevilla,c.pinedadesevilla
andalucia,malaga,c.pinosdellimonar
galicia,acoruña,c.poloacuatico
regiondemurcia,murcia,c.quintadelorca
catalunya,barcelona,c.ramonllull
catalunya,girona,c.ripolle.s.
islasbaleares,baleares,c.s.d´inca
castilla-lamancha,albacete,c.s.p.losllanos
andalucia,sevilla,c.salaslarrazabal
islasbaleares,baleares,c.saltosmallorca
andalucia,malaga,c.sanestanislao
extremadura,badajoz,c.sanmarcos
andalucia,jaen,c.santanadelinares
andalucia,cordoba,c.santuario
regiondemurcia,murcia,c.sincroalhama
islasbaleares,baleares,c.sincroandratx
comunidadvalenciana,valencia,c.sincrolamurterachristeyns
paisvasco,vizcaya,c.sincrourbarrideetxebarri
comunidadvalenciana,valencia,c.sirenascatarroja
catalunya,girona,c.squashblanes
castilla-lamancha,cuenca,c.t.hocesdecuenca
comunidadforaldenavarra,navarra,c.tafalles
canarias,santacruzdetenerife,c.tenerifemasters
catalunya,barcelona,c.tenisbadalona
catalunya,barcelona,c.tenisbarcino
,,c.teniscabezarubia
comunidaddemadrid,madrid,c.tenischamartin
galicia,pontevedra,c.teniscodesal
castilla-lamancha,cuenca,c.teniscuenca
castillayleon,segovia,c.tenisjuanbravo
catalunya,lleida,c.tenislleida
regiondemurcia,murcia,c.tenismurcia
comunidadforaldenavarra,navarra,c.tenispamplona
castillayleon,leon,c.tenisponferrada
catalunya,barcelona,c.tenisvic
catalunya,barcelona,c.tenisvilafranca
extremadura,badajoz,c.tenisvillanueva
aragon,huesca,c.torrentedecinca
galicia,pontevedra,c.traviesasnat.
castilla-lamancha,albacete,c.triatlonalbacete
galicia,acoruña,c.triatloncoruña
andalucia,sevilla,c.u.oceano
galicia,acoruña,c.usc
comunidadvalenciana,valencia,c.valenciano
andalucia,cordoba,c.villanuevacordoba
galicia,acoruña,c.w.cambre
comunidadvalenciana,castellon,c.w.castello
galicia,acoruña,c.w.coruñariasaltas
comunidadvalenciana,valencia,c.w.diverswin
andalucia,sevilla,c.w.doshermanas
galicia,lugo,c.w.lugo
castillayleon,burgos,c.w.p.castellae
castilla-lamancha,toledo,c.w.poseidon
galicia,pontevedra,c.w.redondela
castillayleon,burgos,c.w.riopico
comunidadvalenciana,valencia,c.w.sanantoniodebenageber
canarias,santacruzdetenerife,c.w.santaursula
galicia,acoruña,c.w.santiago
andalucia,sevilla,c.w.tomares
galicia,ourense,c.wat.pabellonourense
galicia,pontevedra,c.wat.pontevedra
regiondemurcia,murcia,c.waterpolo1990
castilla-lamancha,albacete,c.waterpoloalbacete
andalucia,cadiz,c.waterpoloalgeciras
islasbaleares,baleares,c.waterpolobalear
aragon,zaragoza,c.waterpolobrilan
comunidaddemadrid,madrid,c.waterpolociudadderivas
galicia,acoruña,c.waterpolocoruña
comunidadvalenciana,valencia,c.waterpoloe.m.t.
comunidadvalenciana,valencia,c.waterpololevanteupv
andalucia,sevilla,c.waterpololospalacios
castilla-lamancha,toledo,c.waterpolomadridejos
andalucia,malaga,c.waterpolomarbella
andalucia,granada,c.waterpolomotril
galicia,acoruña,c.waterpolopadron
comunidadvalenciana,alicante,c.waterpolopetrer
comunidadvalenciana,alicante,c.waterpolosax
andalucia,sevilla,c.waterpolosevilla
castilla-lamancha,ciudadreal,c.waterpolovaldepeñas
castillayleon,zamora,c.waterpolozamora
comunidadvalenciana,valencia,c.wp.burjassot
canarias,santacruzdetenerife,c.wp.eriduycurtin
catalunya,barcelona,c.wp.santadria
catalunya,barcelona,c.wp.univ.autonoma
comunidadforaldenavarra,navarra,c.zizur
catalunya,tarragona,cambrilsc.n.
comunidadforaldenavarra,navarra,campodedeporteslarraina
galicia,acoruña,casinodelacoruña
comunidadvalenciana,alicante,cd.españolsanvcte.
comunidadvalenciana,alicante,cd.maristasalicante
comunidadvalenciana,valencia,cd.un.polit.valencia
castillayleon,leon,cdacuaticoleon
comunidaddemadrid,madrid,cdbnatacionswimtonic
cantabria,cantabria,cdecastronat.
castillayleon,valladolid,cdupstream
,,cdwpurgaratxingudi
paisvasco,vizcaya,cdwtrudgeonsestao
regiondemurcia,murcia,centurionclubtriatloncaravaca
andalucia,sevilla,circulomercantil
comunidadvalenciana,alicante,clubaqualandia
comunidaddemadrid,madrid,clubaquamadsincro
comunidaddemadrid,madrid,clubarriacensenatacion
comunidadvalenciana,alicante,clubatleticomontemar
andalucia,jaen,clubbaloncestocazorla
castillayleon,zamora,clubbenaventenatacion
islasbaleares,baleares,clubcampusesport
,,clubdeatletismotragaleguas
galicia,acoruña,clubdelmar
comunidaddemadrid,madrid,clubdeportivobasicobis
canarias,laspalmas,clubdeportivocaima
andalucia,sevilla,clubdeportivoestrelladelmar
canarias,santacruzdetenerife,clubdeportivomidayutenerife
comunidadvalenciana,castellon,clubdeportivonadoscastellon
comunidadvalenciana,valencia,clubdeportivonatacionaldaia
andalucia,almeria,clubdeportivonatacionciudaddeadra
andalucia,malaga,clubdeportivonatacionronda
canarias,laspalmas,clubdeportivonatacionsacoa
canarias,laspalmas,clubdeportivopingüinosdearrecife
canarias,laspalmas,clubdeportivoraguosdemaspalomas
comunidadvalenciana,alicante,clubdeportivosociedadtirodepichon
canarias,laspalmas,clubdeportivoswim&trainmaspalomas
,,clubdeportivoswimtechleon
canarias,santacruzdetenerife,clubdeportivoteimar
andalucia,cadiz,clubdeportivowaterpolochiclana
andalucia,cadiz,clubdeportivowaterpolojerez
regiondemurcia,murcia,clubdeportivowaterpolothader
catalunya,barcelona,clubesportiuagoramasiabach
catalunya,barcelona,clubesportiubergaresort
catalunya,barcelona,clubesportiueuropasportscentre
andalucia,cordoba,clubfidiasnatacionintegral
islasbaleares,baleares,clubgimnasilles
galicia,acoruña,clubherculestermaria
comunidadvalenciana,alicante,clubilicitanotriatlon
regiondemurcia,murcia,clubkoryotorrepacheco
catalunya,barcelona,clubnagi
melilla,melilla,clubnat.melilla
comunidadvalenciana,alicante,clubnatacioaltea
catalunya,tarragona,clubnataciofanecadaalcanar
catalunya,girona,clubnataciofarners
catalunya,barcelona,clubnataciolesfranqueses
catalunya,girona,clubnataciolloretdemar
islasbaleares,baleares,clubnataciomuro
,,clubnatacionacuaticomorvedresagunto
canarias,santacruzdetenerife,clubnatacionademi-tenerife
comunidadvalenciana,alicante,clubnatacionalfatorrevieja
regiondemurcia,murcia,clubnatacionalkazar
castillayleon,leon,clubnatacionastorga
andalucia,cordoba,clubnatacionbaena
comunidadvalenciana,valencia,clubnatacionbarracudastorrent
comunidadvalenciana,alicante,clubnatacionc.m.d.horadada
castillayleon,valladolid,clubnatacioncampo
castillayleon,avila,clubnatacionciudaddeavila
andalucia,malaga,clubnatacioncoin
andalucia,huelva,clubnatacioncolombino
castilla-lamancha,ciudadreal,clubnataciondaimiel
comunidadvalenciana,alicante,clubnatacionelda
andalucia,malaga,clubnatacionestepona
andalucia,granada,clubnatacionlasgabias
regiondemurcia,murcia,clubnatacionmasteraguilas
castillayleon,leon,clubnatacionmasterleon
paisvasco,vizcaya,clubnatacionmungia
canarias,laspalmas,clubnatacionochodeseptiembre
comunidadvalenciana,valencia,clubnatacionpatacona
andalucia,sevilla,clubnatacionpedrera
larioja,larioja,clubnatacionrivalia
andalucia,sevilla,clubnatacionsanjuan
regiondemurcia,murcia,clubnatacionthiarhoradada
islasbaleares,baleares,clubnataciontriswim
paisvasco,alava,clubnatacionurdantza
comunidadforaldenavarra,navarra,clubnatacionurederra
paisvasco,vizcaya,clubnatacionzurkidezalla
comunidadvalenciana,alicante,clubnatacioondara
catalunya,barcelona,clubnatacioradikalswim
catalunya,girona,clubnatacioswimfastersalt
catalunya,barcelona,clubnataciovalldoreix
comunidadvalenciana,valencia,clubnougodellanatacion
andalucia,sevilla,clubpetancagines
andalucia,malaga,clubsaltostrampolincostadelsol
comunidaddemadrid,madrid,clubsanagustin
galicia,acoruña,clubsincroferrol
,,clubsincronizadalorca
,,clubsocturisnatacio
,,clubtpnsafor-gandia
comunidadvalenciana,valencia,clubtriatlonhuracanvalencia
castillayleon,valladolid,clubtritor-triatlontordesillas
castilla-lamancha,guadalajara,clubvelociraptor
regiondemurcia,murcia,clubwaterpolocarthago
comunidadvalenciana,alicante,clubwaterpoloelx
,,clubwaterpoloireguavillamediana
comunidadvalenciana,valencia,clubwaterpolomorvedre
regiondemurcia,murcia,clubwaterpolomurcia
andalucia,malaga,clubwaterpoloronda
regiondemurcia,murcia,clubwaterpolosanjavier
islasbaleares,baleares,clubwaterpolosantjosep
castilla-lamancha,ciudadreal,clubwaterpolotomelloso
extremadura,caceres,cn.caceresdelfines
canarias,laspalmas,cn.fainaguac.telde
galicia,ourense,cn.gimnasioolimpia
,,cn.lavalld'albaida
comunidaddemadrid,madrid,cn.marlinsmoratalaz
galicia,pontevedra,cn.masterponsvetus
galicia,lugo,cn.monfortedelemos
islasbaleares,baleares,cn.palmademallorca
catalunya,barcelona,cn.pinetonscardedeu
castilla-lamancha,ciudadreal,cn.puertollanouni.
canarias,laspalmas,cn.salinassta.lucia
catalunya,barcelona,cn.santjustdesvern
castilla-lamancha,toledo,cnmastertorrijos
castilla-lamancha,toledo,cns.sªmªbenquerencia
castilla-lamancha,guadalajara,cnsarriaca
castilla-lamancha,toledo,cnugena
andalucia,cordoba,cordobaswimming
andalucia,sevilla,coria
comunidadvalenciana,castellon,cst-cstcostaazahar
catalunya,barcelona,ctro.dpt.barceloneta
comunidadvalenciana,castellon,cult.dep.castellon
catalunya,barcelona,cn.santjustdesvern
castilla-lamancha,toledo,cnmastertorrijos
castilla-lamancha,toledo,cns.sªmªbenquerencia
castilla-lamancha,guadalajara,cnsarriaca
castilla-lamancha,toledo,cnugena
andalucia,cordoba,cordobaswimming
andalucia,sevilla,coria
comunidadvalenciana,castellon,cst-cstcostaazahar
catalunya,barcelona,ctro.dpt.barceloneta
comunidadvalenciana,castellon,cult.dep.castellon
catalunya,tarragona,cvplatjallargatarragona
paisvasco,vizcaya,d.n.portugalete
castilla-lamancha,albacete,delegacionalbacete
andalucia,almeria,delegacionalmeriensedenatacion
comunidadvalenciana,castellon,delegacioncastellon
andalucia,cordoba,delegacioncordobesadenatacion
galicia,acoruña,delegaciondacoruña
galicia,acoruña,delegaciondeartistica
galicia,acoruña,delegaciondecarballo
galicia,acoruña,delegaciondeferrol
catalunya,tarragona,cvplatjallargatarragona
paisvasco,vizcaya,d.n.portugalete
castilla-lamancha,albacete,delegacionalbacete
andalucia,almeria,delegacionalmeriensedenatacion
comunidadvalenciana,castellon,delegacioncastellon
andalucia,cordoba,delegacioncordobesadenatacion
galicia,acoruña,delegaciondacoruña
galicia,acoruña,delegaciondeartistica
galicia,acoruña,delegaciondecarballo
galicia,acoruña,delegaciondeferrol
galicia,lugo,delegaciondelugo
galicia,ourense,delegaciondeourense
galicia,pontevedra,delegaciondepontevedra
galicia,pontevedra,delegaciondevigo
galicia,acoruña,delegaciondewater-polo
andalucia,cadiz,delegaciongaditanadenatacion
andalucia,granada,delegaciongranadinadenatacion
castilla-lamancha,guadalajara,delegacionguadalajara
andalucia,jaen,delegacionjienensedenatacion
andalucia,malaga,delegacionmalagueñadenatacion
andalucia,huelva,delegaciononubensedenatacion
andalucia,sevilla,delegacionsevillananatacion
andalucia,sevilla,delfindoshermanas
comunidadvalenciana,valencia,dep.univ.i.v.e.f
andalucia,cadiz,dkvclubnatacionjerez
islasbaleares,baleares,duettri-bikes
castilla-lamancha,toledo,e.c.ciudaddetalavera
principadodeasturias,asturias,e.d.delprincipado
cantabria,cantabria,e.d.m.santoña
comunidadforaldenavarra,navarra,e.d.oberena
catalunya,barcelona,e.e.llor
comunidadforaldenavarra,navarra,e.generalmola
andalucia,sevilla,e.m.camas
aragon,zaragoza,e.m.elolivar
andalucia,cadiz,e.m.jerez
castillayleon,leon,e.m.n.astorga
andalucia,jaen,e.m.n.jaen
comunidadforaldenavarra,navarra,e.m.n.villava
andalucia,sevilla,e.n.alfareria
principadodeasturias,asturias,e.n.corvera
comunidaddemadrid,madrid,e.n.joyfe
castillayleon,leon,e.n.leon
castillayleon,salamanca,e.n.salamanca
cantabria,cantabria,e.n.santander
galicia,pontevedra,e.n.vigo
paisvasco,vizcaya,e.n.vizcaya
galicia,pontevedra,e.navalmilitar
castillayleon,palencia,e.palentinan.
comunidadforaldenavarra,navarra,echavacoizs.d.c.
paisvasco,guipuzcoa,eibarigerixan
extremadura,caceres,elperucacereswellness
paisvasco,guipuzcoa,ereintzaelkartea
galicia,acoruña,esc.nat.betanzos
castillayleon,avila,esc.nat.deavila
castillayleon,burgos,esc.nat.deburgos
castillayleon,soria,esc.nat.desoria
castilla-lamancha,toledo,esc.nat.talaverana
castillayleon,zamora,esc.nat.zamora
castillayleon,burgos,esc.polid.burgalesa
aragon,zaragoza,esc.wat.zaragoza
cantabria,cantabria,escueladeportivaorlando
canarias,laspalmas,esnalanzarote
RFEN,,españa
RFEN,,españajunior
islasbaleares,baleares,esportsaquaticssollerwp
paisvasco,vizcaya,euskadicohoberenak
catalunya,barcelona,f.c.barcelona
catalunya,barcelona,f.c.martinenc
catalunya,girona,f.d.casanense
,,f.p.santgervasi
andalucia,cordoba,fed.andalucia
catalunya,lleida,fed.andorrana
aragon,zaragoza,fed.aragonesa
principadodeasturias,asturias,fed.asturias
cantabria,cantabria,fed.cantabria
castillayleon,valladolid,fed.castilla-leonnatacion
castilla-lamancha,albacete,fed.castillla-lamancha
catalunya,barcelona,fed.cataluña
ceuta,ceuta,fed.ceuta
comunidadvalenciana,valencia,fed.comunidadvalenciana
extremadura,caceres,fed.extremadura
galicia,acoruña,fed.galicia
islasbaleares,baleares,fed.islasbaleares
larioja,larioja,fed.larioja
comunidaddemadrid,madrid,fed.madrid
melilla,melilla,fed.melilla
comunidadforaldenavarra,navarra,fed.navarra
paisvasco,vizcaya,fed.paisvasco
regiondemurcia,murcia,fed.regiondemurcia
canarias,laspalmas,federacioncanariadenatacion
catalunya,barcelona,fundacionclaror
castillayleon,valladolid,g.e.fasarenault
catalunya,girona,g.e.ie.g.
comunidaddemadrid,madrid,g.madridsports
andalucia,sevilla,g.n.sevilla2004
paisvasco,vizcaya,galdakaoi.t.
paisvasco,vizcaya,gernika-kosnoagai.t.
paisvasco,vizcaya,getxoigeriketaboluek.e.
galicia,pontevedra,golfiñosc.n.porriño
andalucia,granada,granadaclubdefutbol
catalunya,barcelona,grupoempresaseat
castilla-lamancha,guadalajara,guadalajarac.n.
castilla-lamancha,guadalajara,guadalajaraswimming
paisvasco,guipuzcoa,guipuzcoa
aragon,zaragoza,h2ogoc.n.
paisvasco,guipuzcoa,hernanikirole.
galicia,pontevedra,hogardelpescador
islasbaleares,baleares,ibizamastersnatacion
paisvasco,guipuzcoa,igartzai.k.e.
paisvasco,guipuzcoa,kairoscore
comunidadvalenciana,alicante,kzmswimmingteam
galicia,pontevedra,l.m.villagarcia
andalucia,cadiz,lasalle-buenpastor
paisvasco,guipuzcoa,lasarteigerie.
paisvasco,vizcaya,lauroikastola
paisvasco,alava,lautadaup
paisvasco,vizcaya,leioai.t.
regiondemurcia,murcia,leverade
andalucia,cadiz,linensetenisc.
andalucia,sevilla,loradelrio
comunidaddemadrid,madrid,madridn.c.
islasbaleares,baleares,mallorcawaterpoloclub
catalunya,barcelona,manyanetc.n.
catalunya,barcelona,marnaton
comunidadvalenciana,valencia,martisorollacoop.v.
castilla-lamancha,ciudadreal,masternataciontomelloso
